# x,y,z,r
4.496874706001161570e-01,-3.743428483795196438e-01,-1.016944748606929494e+01,9.025665974043727147e+01
1.005781896897348560e+01,-1.312140356799500651e+01,8.668946316146205788e+01,3.856592458384567124e+01
-2.107853812725458020e+00,1.044840324722809832e+01,9.159194024259056732e+01,4.261701357119104472e+01
-2.910933754062627088e+01,-1.207323236961310897e+01,8.109001236541058688e+01,2.131486671375080988e+01
